#ESTACIÓN METEOROLÓGICA: AEROPARQUE AERO,,,,,,,,
#Datos Preliminares,,,,,,,,
#,,,,,,,,
Fecha,Hora,Tiempo Presente,Dirección del Viento en Decagrados,Velocidad en km/h,Dirección de Ráfaga en Decagrados,Velocidad de Ráfag en km/h,Visibilidad,Precipitación en mm C/6 hs
1/1/2019,0,,7,19,,,60,
1/1/2019,1,,7,19,,,60,
1/1/2019,2,,7,19,,,60,
1/1/2019,3,,5,20,,,60,
1/1/2019,4,,5,17,,,60,
1/1/2019,5,,7,17,,,60,
1/1/2019,6,,7,17,,,60,
1/1/2019,7,,7,15,,,60,
1/1/2019,8,,5,15,,,60,
1/1/2019,9,,5,13,,,60,
1/1/2019,10,,5,13,,,60,
1/1/2019,11,,5,11,,,60,
1/1/2019,12,,7,13,,,60,
1/1/2019,13,,7,13,,,60,
1/1/2019,14,,9,17,,,60,
1/1/2019,15,,9,17,,,60,
1/1/2019,16,,9,17,,,60,
1/1/2019,17,,36,13,,,60,
1/1/2019,18,95,32,15,,,60,
1/1/2019,19,29,34,17,,,60,
1/1/2019,20,1,36,20,,,60,
1/1/2019,21,2,2,13,,,60,0.2
1/1/2019,22,,36,9,,,60,
1/1/2019,23,,36,19,,,60,
2/1/2019,0,,36,28,,,60,
2/1/2019,1,,32,15,,,60,
2/1/2019,2,,32,20,,,60,
2/1/2019,3,,32,15,,,60,
2/1/2019,4,,32,13,,,60,
2/1/2019,5,,32,11,,,60,
2/1/2019,6,,34,11,,,60,
2/1/2019,7,,34,15,,,60,
2/1/2019,8,,34,13,,,60,
2/1/2019,9,,36,13,,,60,
2/1/2019,10,,34,19,,,60,
2/1/2019,11,,36,15,,,60,
2/1/2019,12,,2,7,,,60,
2/1/2019,13,95,29,13,,,57,
2/1/2019,14,95,20,11,,,58,
2/1/2019,15,29,18,20,,,60,5
2/1/2019,16,2,18,11,,,60,
2/1/2019,17,,7,6,,,60,
2/1/2019,18,,99,4,,,60,
2/1/2019,19,,99,4,,,60,
2/1/2019,20,,99,4,,,60,
2/1/2019,21,,23,13,,,60,
2/1/2019,22,,23,9,,,60,
2/1/2019,23,,23,9,,,60,
3/1/2019,0,,20,15,,,60,
3/1/2019,1,,16,24,,,60,
3/1/2019,2,,16,20,,,60,
3/1/2019,3,,18,17,18,63,60,
3/1/2019,4,,18,22,,,60,
3/1/2019,5,,18,19,,,60,
3/1/2019,6,,18,15,,,60,
3/1/2019,7,,16,9,,,60,
3/1/2019,8,,18,15,,,60,
3/1/2019,9,,16,15,,,60,
3/1/2019,10,,14,15,,,60,
3/1/2019,11,,14,17,,,60,
3/1/2019,12,,7,17,,,60,
3/1/2019,13,,5,13,,,60,
3/1/2019,14,,5,15,,,60,
3/1/2019,15,,5,15,,,60,
3/1/2019,16,,5,13,,,60,
3/1/2019,17,,5,13,,,60,
3/1/2019,18,,5,9,,,60,
3/1/2019,19,,7,9,,,60,
3/1/2019,20,,7,7,,,60,
3/1/2019,21,,9,7,,,60,
3/1/2019,22,,9,11,,,60,
3/1/2019,23,,9,7,,,60,
4/1/2019,0,,5,15,,,60,
4/1/2019,1,,36,17,,,60,
4/1/2019,2,,36,19,,,60,
4/1/2019,3,,36,22,,,60,
4/1/2019,4,,36,22,,,60,
4/1/2019,5,,36,20,,,60,
4/1/2019,6,,34,19,,,60,
4/1/2019,7,,34,19,,,60,
4/1/2019,8,,34,19,,,60,
4/1/2019,9,,34,15,,,60,
4/1/2019,10,,34,17,,,60,
4/1/2019,11,,29,17,,,60,
4/1/2019,12,,36,17,,,60,
4/1/2019,13,,36,17,,,60,
4/1/2019,14,,2,15,,,60,
4/1/2019,15,,2,15,,,60,
4/1/2019,16,,2,15,,,60,
4/1/2019,17,,2,15,,,60,
4/1/2019,18,,2,13,,,60,
4/1/2019,19,,36,13,,,60,
4/1/2019,20,,2,9,,,60,
4/1/2019,21,,2,9,,,60,
4/1/2019,22,,5,9,,,60,
4/1/2019,23,,5,15,,,60,
5/1/2019,0,,5,19,,,60,
5/1/2019,1,,5,19,,,60,
5/1/2019,2,,2,15,,,60,
5/1/2019,3,,36,15,,,60,
5/1/2019,4,,36,15,,,60,
5/1/2019,5,,36,17,,,60,
5/1/2019,6,,36,20,,,60,
5/1/2019,7,,36,19,,,60,
5/1/2019,8,,36,24,,,60,
5/1/2019,9,,36,20,,,60,
5/1/2019,10,,36,19,,,60,
5/1/2019,11,,36,19,,,60,
5/1/2019,12,,36,17,,,60,
5/1/2019,13,,36,13,,,60,
5/1/2019,14,,2,13,,,60,
5/1/2019,15,,2,11,,,60,
5/1/2019,16,,5,13,,,60,
5/1/2019,17,,7,13,,,60,
5/1/2019,18,,11,19,,,60,
5/1/2019,19,,11,20,,,60,
5/1/2019,20,,11,17,,,60,
5/1/2019,21,,11,13,,,60,
5/1/2019,22,,2,19,,,60,
5/1/2019,23,,2,15,,,60,
6/1/2019,0,,2,20,,,60,
6/1/2019,1,,2,19,,,60,
6/1/2019,2,13,2,19,,,60,
6/1/2019,3,17,2,22,,,60,
6/1/2019,4,29,29,7,,,60,
6/1/2019,5,1,32,7,,,60,
6/1/2019,6,3,25,7,,,60,
6/1/2019,7,61,36,9,,,59,
6/1/2019,8,61,36,19,,,59,
6/1/2019,9,61,29,15,,,59,0.5
6/1/2019,10,63,29,17,,,63,
6/1/2019,11,21,32,24,,,60,
6/1/2019,12,2,36,20,,,60,
6/1/2019,13,,36,28,,,60,
6/1/2019,14,,23,11,,,60,
6/1/2019,15,1,20,9,,,60,2
6/1/2019,16,,23,7,,,60,
6/1/2019,17,,20,6,,,60,
6/1/2019,18,,20,9,,,60,
6/1/2019,19,,20,7,,,60,
6/1/2019,20,,18,7,,,60,
6/1/2019,21,,23,11,,,60,
6/1/2019,22,,23,11,,,60,
6/1/2019,23,60,2,6,,,56,
7/1/2019,0,60,2,6,,,58,
7/1/2019,1,21,14,4,,,60,
7/1/2019,2,2,18,6,,,60,
7/1/2019,3,2,23,6,,,60,3
7/1/2019,4,,14,4,,,60,
7/1/2019,5,60,20,6,,,58,
7/1/2019,6,60,18,7,,,59,
7/1/2019,7,21,23,7,,,60,
7/1/2019,8,1,20,7,,,60,
7/1/2019,9,3,18,11,,,60,0.3
7/1/2019,10,,23,9,,,60,
7/1/2019,11,,23,9,,,60,
7/1/2019,12,,23,7,,,60,
7/1/2019,13,,20,7,,,60,
7/1/2019,14,,27,11,,,60,
7/1/2019,15,,27,9,,,60,
7/1/2019,16,,25,13,,,60,
7/1/2019,17,,25,11,,,60,
7/1/2019,18,,25,7,,,60,
7/1/2019,19,,27,9,,,60,
7/1/2019,20,,27,7,,,60,
7/1/2019,21,,32,7,,,60,
7/1/2019,22,,32,7,,,60,
7/1/2019,23,,32,11,,,60,
8/1/2019,0,,32,9,,,60,
8/1/2019,1,,32,11,,,60,
8/1/2019,2,,32,13,,,60,
8/1/2019,3,,32,7,,,60,
8/1/2019,4,,32,9,,,60,
8/1/2019,5,,32,9,,,60,
8/1/2019,6,,32,11,,,60,
8/1/2019,7,,29,15,,,60,
8/1/2019,8,,29,11,,,60,
8/1/2019,9,,29,13,,,60,
8/1/2019,10,,29,9,,,60,
8/1/2019,11,,25,13,,,60,
8/1/2019,12,,25,9,,,60,
8/1/2019,13,,20,7,,,60,
8/1/2019,14,,2,9,,,60,
8/1/2019,15,,5,15,,,60,
8/1/2019,16,,5,19,,,60,
8/1/2019,17,,5,17,,,60,
8/1/2019,18,,7,17,,,60,
8/1/2019,19,,9,19,,,60,
8/1/2019,20,,9,19,,,60,
8/1/2019,21,,9,22,,,60,
8/1/2019,22,,9,19,,,60,
8/1/2019,23,,9,22,,,60,
9/1/2019,0,,7,20,,,60,
9/1/2019,1,,5,20,,,60,
9/1/2019,2,,5,15,,,60,
9/1/2019,3,,5,15,,,60,
9/1/2019,4,,36,17,,,60,
9/1/2019,5,,34,19,,,60,
9/1/2019,6,,29,11,,,60,
9/1/2019,7,,27,11,,,60,
9/1/2019,8,25,20,11,,,60,
9/1/2019,9,1,20,9,,,60,0
9/1/2019,10,,23,13,,,60,
9/1/2019,11,,25,13,,,60,
9/1/2019,12,,20,13,,,60,
9/1/2019,13,,20,11,,,60,
9/1/2019,14,,20,13,,,60,
9/1/2019,15,,18,9,,,60,
9/1/2019,16,,18,7,,,60,
9/1/2019,17,,11,24,,,60,
9/1/2019,18,,11,19,,,60,
9/1/2019,19,,11,19,,,60,
9/1/2019,20,,11,15,,,60,
9/1/2019,21,,14,15,,,60,
9/1/2019,22,,14,13,,,60,
9/1/2019,23,,14,17,,,60,
10/1/2019,0,,14,20,,,60,
10/1/2019,1,,14,31,,,60,
10/1/2019,2,,14,31,,,60,
10/1/2019,3,,14,26,,,60,
10/1/2019,4,13,14,19,,,60,
10/1/2019,5,,14,15,,,60,
10/1/2019,6,,14,17,,,60,
10/1/2019,7,,14,17,,,60,
10/1/2019,8,,16,19,,,60,
10/1/2019,9,60,16,17,,,59,0
10/1/2019,10,21,18,15,,,60,
10/1/2019,11,2,18,15,,,60,
10/1/2019,12,2,18,13,,,60,
10/1/2019,13,61,18,19,,,59,
10/1/2019,14,61,18,17,,,59,
10/1/2019,15,21,18,19,,,60,0
10/1/2019,16,2,18,17,,,60,
10/1/2019,17,,18,15,,,60,
10/1/2019,18,,18,11,,,60,
10/1/2019,19,,20,15,,,60,
